,0,1,2,3,4,5,6,7,8,9
0,1.0,2.0,2.0,2.0,2.0,-0.0,3.0,4.0,2.0,1.0
1,2.0,3.0,2.0,2.0,2.0,2.0,2.0,6.0,2.0,2.0
2,1.0,3.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0
3,3.0,4.0,1.0,3.0,2.0,3.0,2.0,5.0,2.0,1.0
4,2.0,4.0,2.0,2.0,2.0,3.0,2.0,4.0,3.0,1.0
5,2.0,4.0,2.0,2.0,3.0,2.0,2.0,4.0,2.0,2.0
6,2.0,3.0,2.0,2.0,2.0,2.0,2.0,4.0,3.0,1.0
7,2.0,5.0,1.0,2.0,1.0,2.0,2.0,4.0,3.0,2.0
8,2.0,4.0,1.0,3.0,2.0,2.0,1.0,3.0,2.0,2.0
9,2.0,3.0,2.0,2.0,1.0,2.0,1.0,3.0,2.0,3.0
10,2.0,3.0,1.0,3.0,2.0,2.0,4.0,4.0,1.0,1.0
11,1.0,4.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,2.0
12,2.0,4.0,3.0,2.0,2.0,1.0,2.0,3.0,1.0,1.0
13,1.0,2.0,1.0,2.0,-0.0,3.0,2.0,3.0,-0.0,1.0
14,2.0,3.0,1.0,2.0,3.0,3.0,1.0,4.0,2.0,1.0
15,2.0,4.0,3.0,2.0,2.0,1.0,2.0,3.0,3.0,1.0
16,0.0,3.0,2.0,1.0,3.0,1.0,2.0,3.0,1.0,2.0
17,1.0,4.0,2.0,1.0,2.0,2.0,2.0,4.0,1.0,3.0
18,2.0,1.0,2.0,1.0,1.0,1.0,2.0,3.0,2.0,2.0
19,2.0,1.0,2.0,1.0,2.0,1.0,1.0,3.0,0.0,2.0
20,0.0,3.0,1.0,1.0,2.0,1.0,1.0,3.0,2.0,1.0
21,1.0,3.0,3.0,2.0,2.0,2.0,1.0,4.0,2.0,2.0
22,3.0,3.0,1.0,1.0,2.0,0.0,2.0,4.0,2.0,2.0
23,2.0,4.0,2.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0
24,1.0,3.0,1.0,1.0,2.0,2.0,1.0,3.0,1.0,2.0
25,2.0,3.0,3.0,1.0,2.0,1.0,2.0,4.0,1.0,2.0
