,0,1,2,3,4,5,6,7,8,9
0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,4.0,1.0,1.0
1,1.0,3.0,2.0,2.0,2.0,1.0,2.0,4.0,2.0,2.0
2,0.0,4.0,2.0,1.0,1.0,2.0,1.0,4.0,2.0,1.0
3,2.0,3.0,1.0,1.0,0.0,2.0,1.0,2.0,1.0,2.0
4,3.0,3.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,3.0
5,0.0,4.0,2.0,0.0,1.0,2.0,2.0,4.0,1.0,2.0
6,2.0,3.0,1.0,1.0,2.0,1.0,1.0,4.0,2.0,1.0
7,2.0,4.0,2.0,0.0,2.0,2.0,2.0,4.0,2.0,2.0
8,2.0,4.0,1.0,1.0,2.0,0.0,1.0,4.0,2.0,1.0
9,1.0,4.0,1.0,2.0,3.0,1.0,1.0,2.0,2.0,1.0
10,2.0,2.0,1.0,2.0,2.0,2.0,1.0,4.0,0.0,2.0
11,1.0,4.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0
12,0.0,3.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0
13,2.0,2.0,1.0,2.0,2.0,3.0,2.0,2.0,1.0,2.0
14,1.0,5.0,3.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0
15,2.0,4.0,1.0,2.0,2.0,2.0,1.0,4.0,1.0,1.0
16,2.0,3.0,2.0,1.0,1.0,2.0,3.0,3.0,2.0,2.0
17,2.0,4.0,1.0,2.0,3.0,1.0,2.0,4.0,2.0,2.0
18,3.0,3.0,1.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0
19,0.0,4.0,2.0,2.0,2.0,3.0,1.0,3.0,2.0,1.0
20,3.0,3.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0
21,2.0,3.0,2.0,2.0,2.0,1.0,2.0,5.0,1.0,2.0
22,1.0,3.0,3.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0
23,1.0,4.0,3.0,3.0,1.0,2.0,2.0,3.0,1.0,2.0
24,3.0,4.0,2.0,1.0,1.0,3.0,3.0,3.0,2.0,1.0
25,2.0,3.0,1.0,3.0,2.0,2.0,2.0,3.0,0.0,2.0
26,1.0,3.0,1.0,2.0,3.0,3.0,1.0,3.0,1.0,1.0
27,3.0,3.0,1.0,2.0,1.0,2.0,2.0,3.0,2.0,2.0
28,2.0,3.0,1.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0
29,2.0,4.0,2.0,2.0,2.0,2.0,1.0,4.0,3.0,1.0
